"encriptado"	"periodo"	"sat entel"	"literal"
"176"	"e7pUQyS2OX1G"	"2018_q1"	6	"POR LO UNICO QUE NO POIME 7 ES PÓRQUE HA NECESITADO SOLUCIONAR UN TEMA PUNTUAL Y NO SE LO RESOLVIERON"
"177"	"rcUgtaXz12JI"	"2018_q2"	6	"SC"
"178"	"LiuAaTquK6eA"	"2019_q1"	6	"LOS CORREOS QUE ENVIO NO E RESIVIDO RESPUESTAS  E TRATADO VER EL TEMA DE LA RAZON SOCIAL Y NO E PODIDO"
"179"	"GHvjQZQ2cYpE"	"2018_q2"	6	"SC"
"180"	"jmTuvJfy2IsT"	"2018_q2"	6	"SC"
"181"	"UrNp9frfBX5o"	"2020_q2"	6	"MEJORAR HORARIO DE ATENCION QUE SEA MAS EXTENDIDO"
"182"	"LLn5TpyPYEby"	"2019_q1"	6	"0"
"183"	"LLn5TpyPYEby"	"2018_q2"	6	"QUE LLEGAN LASSOLUCIONESMASRAPIDOS"
"184"	"LLn5TpyPYEby"	"2018_q2"	6	"S/C"
"185"	"LLn5TpyPYEby"	"2019_q2"	5	"NO SE"
"186"	"WNGmfdpaKH3z"	"2018_q1"	1	"QUE ARREGLEN EL TIPO DE LIENAS QUE HAY ACA EN LA ZONA EN COPIAPO Y ANTOFAGASTA , YOP SE QUE EN ESTE MONETO ESTAN COMPITIENDO CON OTRAS COMPAÑIAS COMO WOM Y MOVISTAR, EN ESTE MOMENTO WOM TIENE LA DELANTERA EN SERVICIO, NOSOTROS CONSIDERABAMOS A ENTEL COMO UNO DE LOS MEJORES EN COBERTURA Y AHORA    SON UNA DE LAS PEORES"
"187"	"WNGmfdpaKH3z"	"2020_q2"	6	"NADA"
"188"	"WNGmfdpaKH3z"	"2018_q1"	1	"QUE ARREGLEN EL TIPO DE LIENAS QUE HAY ACA EN LA ZONA EN COPIAPO Y ANTOFAGASTA , YOP SE QUE EN ESTE MONETO ESTAN COMPITIENDO CON OTRAS COMPAÑIAS COMO WOM Y MOVISTAR, EN ESTE MOMENTO WOM TIENE LA DELANTERA EN SERVICIO, NOSOTROS CONSIDERABAMOS A ENTEL COMO UNO DE LOS MEJORES EN COBERTURA Y AHORA    SON UNA DE LAS PEORES"
"189"	"d6i10t7ryYkM"	"2018_q1"	5	"S/C"
"190"	"GDtfmy8MkkRZ"	"2020_q2"	6	"NO SABE"
"191"	"Uq0GsmQCil8t"	"2020_q2"	5	"DAR MAS GARANTIA A LOS CLIENTES  EN EL TEMA ANTERIORMENTE ENTEL FUNCIONABA CON EQUIPOS EN ARRIENDO A 18 MESES AHORA HAY QUE PAGAR EL APARATO Y MAS ENCINA COBRAN EL ARRIENDO MEJORAR LA SEÑAL"
"192"	"EbSsjd8f3DfX"	"2018_q1"	7	"S/C"
