encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
8MLCQKqvD0lF	4	Caro,Malas conexiones /conectividad	PEQUEÑA	PEZCA	TALTAL	Mujer	REGIONES	Mas
oNZ47OhpZRLA	7	No ha tenido problemas	MICRO	financiero	Santiago, vitacura	Hombre	SANTIAGO	Mas
7Pu4lHptotex	7	Facturación,Buenos precios / precios adecuados,Buen servicio / calidad servicio	PEQUEÑA	EDUCACIÓN	LAS CONDES	Hombre	SANTIAGO	Mas
lzyPHQM3Xkmo	4	Mal servicio internet / señal,Mala cobertura,Problemas con equipos / calidad /reposición /cambio	PEQUEÑA	SINDICATO	ÑUÑOA	Hombre	SANTIAGO	AV
iovzEB3khDje	7	Buen servicio / calidad servicio,Rapida atencion ejecutivo	PEQUEÑA	EDUACION , ESTABLECIMIENTO EDUCACIONAL	PEÑAFLOR	Hombre	SANTIAGO	MV
bZXYVvGIIepN	6	Buenos precios / precios adecuados	PEQUEÑA	educacion	renca	Mujer	SANTIAGO	Mas
pukcH3uks4L5	5	Malas señal telefónica	MEDIANA	EDUCACIÓN	SAN BERNARDO	Hombre	SANTIAGO	Mas
d6VoBPFLu5E9	6	Buena atencion,Buena atención telefónica	PEQUEÑA	EDUCACIÓN	PUERTO MONTT	Hombre	REGIONES	Mas
R9dNccCmGF2k	6	Buen servicio / calidad servicio,No ha tenido problemas	MEDIANA	EDUCACIÓN	PUENTE ALTO	Hombre	SANTIAGO	Mas
10Uv3P1biMjR	5	Siempre se puede mejorar	MICRO	MAESTRANZA	LOS ÁNGELES	Hombre	REGIONES	Mas
s5HiQXIhzqA5	5	Mala cobertura,Mala señal	MICRO	educacion y cultura	san pedro de atacama	Mujer	REGIONES	Mas
XHM9h3dcDnM9	2	Mala atención,Mala cobertura,Mala señal	MICRO	DISTRIBUCION DE AGUA	LINARES	Hombre	REGIONES	Mas
Xi6cajHlBgiG	7	No ha tenido problemas	MICRO	arquitectura	san felipe	Mujer	REGIONES	Mas
HK1WokfsBdGQ	7	Facturación	MICRO	FUNDACION DE LA CULTURA Y EDUCASION	VILLA RICA	Hombre	REGIONES	Mas
CDWXNZAU4GMe	7	Buenos precios / precios adecuados,Buen servicio / calidad servicio,Buena cobertura	MEDIANA	EDUCACION	PUENTA ARENAS	Hombre	SANTIAGO	MP
s9BKj0z7xG03	4	Mal servicio internet / señal	PEQUEÑA	SERTVICIOS.	SANTIAGO CENTRO.	Hombre	SANTIAGO	AP
vROmW5NQyvMD	5	Planes de mala calidad	PEQUEÑA	CAPTACIÓN DE AGUAS Y DISTRIBUCIÓN.	RÍO CLARO	Mujer	REGIONES	Mas
ljsQXTcRlqcy	6	Mala atencion con ejecutivos	GGEE	MUNICIPALIDAD	EL MONTE	Mujer	SANTIAGO	AV
aIsIUu4tOr9n	5	Mal servicio / calidad servicio,Malas señal telefónica	MICRO	Deportes, fútbol profesional.	Concepción	Hombre	REGIONES	Mas
E0xChzbDXV4T	7	Buen servicio / calidad servicio,Buena conexión / conectividad,Rápida solución de problemas	GGEE	ASOCIACION	LINARES	Hombre	REGIONES	AV
wkq1NdycIWdM	7	Buena señal,Cobros claros	MICRO	Distribución de agua potable	San Carlos Ñuble	Hombre	REGIONES	Mas
cIKGWQnaIvIl	6	Buena atencion,Demora atención telefónica	MICRO	AGRICOLA.	SAN BERNARDO.	Hombre	SANTIAGO	Mas
xj4OFLxi8Rag	5	Buen servicio / calidad servicio	PEQUEÑA	TRANSPORTE	ISLA DE MAIPO	Hombre	SANTIAGO	Mas
o2hNwYA4P9qQ	6	Problema facturación	GGEE	UNIVERSIDAD, ENESEÑAÑZA DE EDUCACION SUPERIOR	TALCA	Hombre	REGIONES	AP
RAQbhwqRgx6R	6	Buen servicio / calidad servicio,Disponibilidad del ejecutivo	GGEE	CLUB Y SOCIAL Y DEPORTES	LAS CONDES	Mujer	SANTIAGO	AP
n4yB3NqOeMR0	5	Mala atención	MICRO	CORPORACIÓN DE EDUCACIÓN	PUERTO NATALES	Hombre	REGIONES	AP
jaUTg2XWYu5E	6	Buen servicio / calidad servicio,Solucionan requerimientos	GGEE	EDUCACION	SANTIAGO	Hombre	SANTIAGO	AV
G2eZbIh219LF	6	Mal servicio / calidad servicio	GGEE	EDUCACION	SAN PEDRO CONCEPCION	Hombre	REGIONES	AP
BkQn3EuW8LXW	6	Buena señal	MICRO	PUBLICIDAD	QUIRIGUE	Hombre	REGIONES	Mas
lLhyQu7QrPkP	5	Mala cobertura,Mala señal	PEQUEÑA	AGUA POTABLE	CURICO	Hombre	REGIONES	Mas
yKgGmLVRk5xL	5	Mal servicio internet / señal	MICRO	agua potable	lancahua , sector puquillay bajo	Hombre	REGIONES	Mas
1X1d9nUt3xIt	6	Buen servicio telefonico	MICRO	CAPTACIÓN Y  PURIFICACIÓN DE AGUAS	RANCAGUA	Mujer	REGIONES	Mas
wezeOw3FmDuQ	6	Buen servicio / calidad servicio	PEQUEÑA	DIRIGENTES SINDICALES.	SANTIAGO CENTRO.	Hombre	SANTIAGO	AP
UA2olzpavtgH	7	Buena atencion,Solucionan requerimientos	PEQUEÑA	ong	santiago	Mujer	SANTIAGO	AP
oTprRvk3bXfX	5	Mal servicio postventa	PEQUEÑA	TRANSPORTE	QUINTA NORMAL	Hombre	SANTIAGO	Mas
CjCQzmqXA108	5	Mala señal,Mal servicio internet / señal	PEQUEÑA	SINDICAL .	SANTIAGO.	Hombre	SANTIAGO	AP
zPMaSLvrIvXG	6	Mala señal	MICRO	Contratista en construcción	Rancagua	Hombre	SANTIAGO	Mas
LYWM2Ca1JyA3	6	Problema facturación,Demora atención telefónica	PEQUEÑA	EDUCACION	PEÑALOLEN	Hombre	SANTIAGO	AP
HpLXnHwHt3Hw	4	Mala señal,Mal servicio internet / señal	MICRO	turismo y servicios .	san pedro de atacama	Hombre	REGIONES	Mas
wo5SD50VTKgN	7	Buen servicio / calidad servicio	MICRO	MANTECION DE EQUIPAMIENTOS.	PUERTO CHACABUCO AYSEN	Hombre	REGIONES	Mas
suQ42pEr1b39	3	Mala señal,Mala atención,Caro	MICRO	DISTRIBUCION, PURIFICACION DE AGUA POTABLE RURAL.	SAN FRANCISCO DE MOSTAZAL, COMUNA DE MONTAZAL	Mujer	REGIONES	Mas
hOAE3EjFiBqZ	6	Mal servicio internet / señal	PEQUEÑA	ORGANIZACIÓN SINDICAL	SANTIAGO	Mujer	SANTIAGO	AP
sDbjmYrhFj3j	6	Problemas con equipos / calidad /reposición /cambio,Planes de mala calidad	MICRO	AGROINDUSTRIA	RANCAGUA	Hombre	REGIONES	AP
I9Y6FJsllZT9	5	Mal servicio internet / señal	MICRO	servicio de agua potable apr	sector lo patricio, comuna pelarco	Hombre	REGIONES	Mas
kG6oxOw6mx4H	5	Mal servicio internet / señal	MICRO	CONTRATISTA	LOS ANGELES	Mujer	REGIONES	Mas
f57ZHStZ9S4n	5	Problema facturación	MICRO	FABRICA DE PLATOS PREPARADOS	CONCEPCION	Mujer	REGIONES	Mas
7OMgpu1ImPZL	5	Mal servicio / calidad servicio	MICRO	TRANPORTE	COYAHIQUE	Mujer	REGIONES	Mas
d3Jjm546zxSL	7	Buen servicio / calidad servicio,No ha tenido problemas	MICRO	vitivinicola	santiago , las condes	Hombre	SANTIAGO	Mas
pGEFsRRUFNgp	5	No Sabe/ No responde	PEQUEÑA	ARTICULOS DEPORTIVOS	ESTACION CENTRAL	Hombre	SANTIAGO	Mas
0oJ68eSPTuSP	7	No ha tenido problemas	MEDIANA	gas licuado	Santiago	Hombre	SANTIAGO	MP
8FSukFFgDzPR	6	Mala señal,Mala cobertura,Mal servicio internet / señal	PEQUEÑA	AGRICOLA	NOGALES	Hombre	REGIONES	Mas
2BkdspLlCiv9	6	Buen servicio / calidad servicio	MICRO	arquitectura	Providencia,Santiago	Mujer	SANTIAGO	Mas
CdilkCK1xRfE	6	Mal servicio internet / señal,Malas conexiones /conectividad	GGEE	OPRADOR LOGISTICO	RENCA	Mujer	SANTIAGO	AP
jvO2IqX1xBUL	6	Demora atención telefónica	GGEE	transporte	santiago , pudahuel	Mujer	SANTIAGO	AP
qsuRaAeeypAH	7	Buena atencion,Buen servicio / calidad servicio,Buena cobertura	MICRO	ingeniería de diseño de proyectos de inversiones	temuco	Hombre	REGIONES	Mas
9O2SDPyTbr5J	6	Buen servicio / calidad servicio	PEQUEÑA	almacenaje	Valparaíso	Mujer	REGIONES	MV
6x0KP2sGZUwJ	6	Buen servicio / calidad servicio	MICRO	servicios de aseo	las condes	Hombre	SANTIAGO	Mas
ynXqi4d0AHIu	5	Planes de mala calidad	MEDIANA	TELECOMUNICACIONES.	PUENTE ALTO.	Hombre	SANTIAGO	MP
K02juv8VNlYc	6	Buen servicio / calidad servicio	MICRO	CONSTRUCCIÓN	SANTIAGO	Hombre	SANTIAGO	Mas
xuswPGyuAax2	6	Buen servicio / calidad servicio,Buena cobertura,Mala atención	PEQUEÑA	SERVICIO DE INFORMATICA PROGRAMACION	PROVIDENCIA	Hombre	SANTIAGO	Mas
2GpPYntdsE9h	6	Demora atención telefónica	PEQUEÑA	SERVICIOS	TALCAHUANO	Mujer	REGIONES	MP
